iter	MultiClass
0	1.236090679
1	1.127006279
2	1.038307294
3	0.9686180524
4	0.9110762395
5	0.8632387673
6	0.8231744143
7	0.7882288221
8	0.7563899935
9	0.7271764179
10	0.7019122041
11	0.6792832174
12	0.6599790483
13	0.6436939052
14	0.6281638296
15	0.6137152184
16	0.6010771819
17	0.5881721677
18	0.5767682331
19	0.5663635799
20	0.5566026171
21	0.5474529151
22	0.5388550703
23	0.5316609258
24	0.5247420461
25	0.5176599376
26	0.5107878408
27	0.5051008321
28	0.5002747444
29	0.4960247282
30	0.4910146788
31	0.4866009157
32	0.4825349688
33	0.4790924113
34	0.4756463456
35	0.471611178
36	0.4686154374
37	0.464829035
38	0.4622035422
39	0.4588429977
40	0.4549592615
41	0.450680768
42	0.448330519
43	0.4455974677
44	0.4429957529
45	0.4412594311
46	0.4397531721
47	0.4376987363
48	0.4353900236
49	0.4330618889
50	0.4305738396
51	0.4278942237
52	0.4262847564
53	0.4249744499
54	0.4232323758
55	0.4214395294
56	0.4190275143
57	0.4168528019
58	0.4146675541
59	0.4133642558
60	0.4124537157
61	0.4104708511
62	0.408879206
63	0.4064801347
64	0.4050051522
65	0.4030481688
66	0.4021173884
67	0.4004336185
68	0.3990038421
69	0.39699148
70	0.3954931139
71	0.3944781306
72	0.393265756
73	0.392101432
74	0.3913461497
75	0.3902902244
76	0.3893797223
77	0.3881818345
78	0.3870234284
79	0.3859827706
80	0.3850966201
81	0.3842191971
82	0.3833194882
83	0.3821599138
84	0.3810767813
85	0.3802581981
86	0.3791752723
87	0.3781642728
88	0.3771926077
89	0.3765969394
90	0.3756178173
91	0.3747219583
92	0.3736608306
93	0.3726646784
94	0.372019174
95	0.3711367615
96	0.3700411424
97	0.3695701294
98	0.3682386279
99	0.367545185
