iter	Passed	Remaining
0	1874	185564
1	3129	153369
2	4360	140984
3	5675	136216
4	6647	126301
5	7590	118910
6	8471	112547
7	9323	107217
8	10166	102798
9	11100	99907
10	12031	97349
11	12899	94597
12	13743	91974
13	14558	89432
14	15441	87499
15	16343	85802
16	17185	83904
17	18155	82708
18	18964	80850
19	19997	79989
20	20927	78728
21	21795	77273
22	22706	76016
23	23567	74629
24	24371	73114
25	25208	71746
26	26158	70726
27	27008	69451
28	27821	68115
29	28606	66748
30	29424	65493
31	30257	64298
32	31065	63072
33	31852	61831
34	32620	60580
35	33453	59472
36	34263	58341
37	35026	57147
38	35912	56170
39	36682	55024
40	37465	53913
41	38315	52911
42	39076	51799
43	39900	50782
44	40686	49727
45	41487	48703
46	42272	47669
47	43067	46656
48	43874	45665
49	44707	44707
50	45544	43758
51	46433	42861
52	47193	41850
53	47918	40819
54	48655	39808
55	49421	38831
56	50209	37877
57	51088	36995
58	51868	36044
59	52633	35088
60	53422	34155
61	54337	33303
62	55192	32414
63	56149	31584
64	57025	30705
65	57983	29870
66	58883	29002
67	59806	28144
68	60811	27321
69	61748	26463
70	62578	25560
71	63410	24659
72	64300	23782
73	65190	22904
74	66067	22022
75	66930	21135
76	67719	20227
77	68577	19342
78	69431	18456
79	70270	17567
80	71264	16716
81	72127	15832
82	72999	14951
83	73848	14066
84	74748	13190
85	75745	12330
86	76591	11444
87	77432	10558
88	78245	9670
89	79102	8789
90	79962	7908
91	80876	7032
92	81743	6152
93	82533	5268
94	83316	4385
95	84212	3508
96	85046	2630
97	85948	1754
98	86759	876
99	87535	0
